Unnamed: 0,Date Created,User,Tweet
50,2022-04-08 21:12:58+00:00,Boymulyanto,Pengamat: Puan Maharani Konsisten Perjuangkan RUU TPKS Sejak Dulu https://t.co/GoP07ozz7W https://t.co/Dnez0tF1E1 #JokowiBersamaPuan Tolak Tunda Pemilu 2024
51,2022-04-08 21:12:53+00:00,Boymulyanto,Puan Maharani dinilai Penuhi Harapan Kaum Perempuan melalui UU TPKS https://t.co/M6aY2Nwk9c https://t.co/ndCaIBnAis #JokowiBersamaPuan Tolak Tunda Pemilu 2024
52,2022-04-08 21:12:51+00:00,Boymulyanto,Puan Maharani Jamin Ketersediaan BBM Tercukupi https://t.co/JiJeqKcP8d https://t.co/9BwHDabuaY #JokowiBersamaPuan Tolak Tunda Pemilu 2024
53,2022-04-08 21:12:35+00:00,bayubagaskara16,"“RUU TPKS akan dibawa ke pembicaraan tingkat II untuk disahkan dalam Rapat Paripurna DPR terdekat. Selangkah lagi, buah dari perjuangan panjang ini akan terealisasi,” –Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
54,2022-04-08 21:11:46+00:00,bayubagaskara16,"“Regulasi yang disahkan negara harus berfungsi efektif untuk menjamin perlindungan terhadap perempuan,”  --Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
55,2022-04-08 21:10:40+00:00,bayuariez,"Ketua DPR RI Puan Maharani  juga menjadi Delegasi RI pada International Dialogue on Revitalized global Partnership at the 70th UN General Assembly, New York. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
56,2022-04-08 21:10:33+00:00,bayuariez,"Puan menjadi Ketua Delegasi RI pada Pembukaan Sea games XXVIII, Singapore dan pada tahun yang sama Puan menjadi Delegasi RI pada ceremony of World War II 70th Anniversary Commemoration, Beijing #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
57,2022-04-08 21:10:16+00:00,bayuariez,"Pada 2015, Puan juga pernah menjadi Delegasi RI pada 3rd United Nation World Conference on Disaster Risk Reduction, Sendai, Jepang. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
58,2022-04-08 21:10:08+00:00,bayuariez,"Selain itu, pada 2019, Puan pimpin delegasi Indonesia dalam Inter-Parliamentary Union (IPU) ke-6 di Tokyo, Jepang.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
59,2022-04-08 21:09:50+00:00,bonizzain,"Puan Maharani: Bicara Pemulihan Ekonomi, Kok Harga Komoditas dan BBM Meningkat https://t.co/1CXnnrQGIM https://t.co/xTrTON0fmq #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
